"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","订单","012-选择订单开箱","1","0","0","0","0"
"","门店--首页","门店评论","1","0","4","0","0"
"","门店首页","005-获取门店信息","0","0","1","0","0"
"","门店首页","010-订单详情","1","0","0","0","0"
"","门店--首页","001-获取门店评论列表","0","0","5","0","0"
"","订单","002-新增订单","0","0","5","0","0"
"","我的","015-获取用户昵称","0","0","2","0","0"
"","门店--首页","002-新增评论","1","0","0","0","0"
"","订单","004-支付订单","1","0","0","0","0"
"","门店首页","007-获取门店服务信息","0","0","1","0","0"
"","门店首页","009-获取店铺列表","0","0","1","0","0"
"","订单","013-取消订单","0","0","1","0","0"
"","订单","011-获取订单列表","0","0","1","0","0"
"","订单","014-扫码开箱","1","0","0","0","0"
"","门店首页","008-门店会员列表信息","0","0","1","0","0"
"","门店首页","006-获取门店下智能柜信息","0","0","1","0","0"
